date,isin,ticker,return_price
2019-12-23,US02376R1023,AAL,28.3353
2019-12-30,US02376R1023,AAL,27.5482
2020-01-06,US02376R1023,AAL,27.2194
2020-01-13,US02376R1023,AAL,28.2954
2020-01-21,US02376R1023,AAL,27.5382
2020-01-27,US02376R1023,AAL,26.7412
2020-02-03,US02376R1023,AAL,28.38
2020-02-10,US02376R1023,AAL,29.2
2020-02-18,US02376R1023,AAL,27.82
2020-02-24,US02376R1023,AAL,19.05
2020-03-02,US02376R1023,AAL,15.97
2020-03-09,US02376R1023,AAL,14.31
2020-03-16,US02376R1023,AAL,10.38
2020-03-23,US02376R1023,AAL,14.04
2020-03-30,US02376R1023,AAL,9.39
2020-04-06,US02376R1023,AAL,12.51
2020-04-13,US02376R1023,AAL,11.57
2020-04-20,US02376R1023,AAL,10.31
2020-04-27,US02376R1023,AAL,10.64
2020-05-04,US02376R1023,AAL,10.14
2020-05-11,US02376R1023,AAL,9.04
2020-05-18,US02376R1023,AAL,9.7
2020-05-26,US02376R1023,AAL,10.5
2020-06-01,US02376R1023,AAL,18.59
2020-06-08,US02376R1023,AAL,16.74
2020-06-15,US02376R1023,AAL,16.0
2020-06-22,US02376R1023,AAL,12.38
2020-06-29,US02376R1023,AAL,12.5
2020-07-06,US02376R1023,AAL,11.94
2020-07-13,US02376R1023,AAL,11.91
2020-07-20,US02376R1023,AAL,11.39
2020-07-27,US02376R1023,AAL,11.12
2020-08-03,US02376R1023,AAL,13.03
2020-08-10,US02376R1023,AAL,13.33
2020-08-17,US02376R1023,AAL,12.16
2020-08-24,US02376R1023,AAL,13.59
2020-08-31,US02376R1023,AAL,13.61
2020-09-08,US02376R1023,AAL,12.95
2020-09-14,US02376R1023,AAL,13.19
2020-09-21,US02376R1023,AAL,12.29
2020-09-28,US02376R1023,AAL,13.0
2020-10-05,US02376R1023,AAL,13.2
2020-10-12,US02376R1023,AAL,12.46
2020-10-19,US02376R1023,AAL,12.6
2020-10-26,US02376R1023,AAL,11.28
2020-11-02,US02376R1023,AAL,11.46
