date,rate
2020-01-01,1155.02
2020-01-02,1157.945
2020-01-03,1165.95
2020-01-06,1167.56
2020-01-07,1168.3
2020-01-08,1162.41
2020-01-09,1159.72
2020-01-10,1158.97
2020-01-13,1154.95
2020-01-14,1158.2
2020-01-15,1158.91
2020-01-16,1160.73
2020-01-17,1161.44
2020-01-20,1159.61
2020-01-21,1170.01
2020-01-22,1165.76
2020-01-23,1169.54
2020-01-24,1170.2
2020-01-27,1177.7
2020-01-28,1176.11
2020-01-29,1179.68
2020-01-30,1188.64
2020-01-31,1195.97
2020-02-03,1190.79
2020-02-04,1183.9
2020-02-05,1184.4
2020-02-06,1186.28
2020-02-07,1192.39
2020-02-10,1188.17
2020-02-11,1182.25
2020-02-12,1179.51
2020-02-13,1184.58
2020-02-14,1183.46
2020-02-17,1185.355
2020-02-18,1191.04
2020-02-19,1193.0
2020-02-20,1205.21
2020-02-21,1207.07
2020-02-24,1219.17
2020-02-25,1216.04
2020-02-26,1212.81
2020-02-27,1212.68
2020-02-28,1200.32
2020-03-02,1189.71
2020-03-03,1181.0
2020-03-04,1185.23
2020-03-05,1188.82
2020-03-06,1188.8
2020-03-09,1200.94
2020-03-10,1185.75
2020-03-11,1192.715
2020-03-12,1211.21
2020-03-13,1211.78
2020-03-16,1232.87
2020-03-17,1239.76
2020-03-18,1256.5
2020-03-19,1258.36
2020-03-20,1254.95
2020-03-23,1273.0
2020-03-24,1234.21
2020-03-25,1233.0
2020-03-26,1213.4
2020-03-27,1212.73
2020-03-30,1224.71
2020-03-31,1218.8
2020-04-01,1236.7
2020-04-02,1227.85
2020-04-03,1236.61
2020-04-06,1224.64
2020-04-07,1215.43
2020-04-08,1216.26
2020-04-09,1211.08
2020-04-10,1211.55
2020-04-13,1215.96
2020-04-14,1212.5
2020-04-15,1224.72
2020-04-16,1228.98
2020-04-17,1216.24
2020-04-20,1220.62
2020-04-21,1233.56
2020-04-22,1234.05
2020-04-23,1233.54
2020-04-24,1230.62
2020-04-27,1222.45
2020-04-28,1221.81
2020-04-29,1211.105
2020-04-30,1213.94
2020-05-01,1224.93
2020-05-04,1224.18
2020-05-05,1222.57
2020-05-06,1229.55
2020-05-07,1220.11
2020-05-08,1219.8
2020-05-11,1223.41
2020-05-12,1226.84
2020-05-13,1227.505
2020-05-14,1227.53
2020-05-15,1233.19
2020-05-18,1225.265
2020-05-19,1225.175
2020-05-20,1227.395
2020-05-21,1233.27
2020-05-22,1240.66
2020-05-25,1240.95
2020-05-26,1230.99
2020-05-27,1238.26
2020-05-28,1238.025
2020-05-29,1231.59
2020-06-01,1223.05
2020-06-02,1220.12
2020-06-03,1215.95
2020-06-04,1216.535
2020-06-05,1202.105
2020-06-08,1195.85
2020-06-09,1198.52
2020-06-10,1190.79
2020-06-11,1206.205
2020-06-12,1203.77
2020-06-15,1208.65
2020-06-16,1212.29
2020-06-17,1215.53
2020-06-18,1212.59
2020-06-19,1211.985
2020-06-22,1209.53
2020-06-23,1208.46
2020-06-24,1206.2
2020-06-25,1202.365
2020-06-26,1203.92
2020-06-29,1199.66
2020-06-30,1199.435
2020-07-01,1201.665
2020-07-02,1199.25
2020-07-03,1199.43
2020-07-06,1192.05
2020-07-07,1196.84
2020-07-08,1192.85
2020-07-09,1197.085
2020-07-10,1200.62
2020-07-13,1203.87
2020-07-14,1205.01
2020-07-15,1201.0
2020-07-16,1205.23
2020-07-17,1203.94
2020-07-20,1201.02
2020-07-21,1194.04
2020-07-22,1197.375
2020-07-23,1201.95
2020-07-24,1201.59
2020-07-27,1196.07
2020-07-28,1199.55
2020-07-29,1190.04
2020-07-30,1189.735
2020-07-31,1194.09
2020-08-03,1192.705
2020-08-04,1193.32
2020-08-05,1186.24
2020-08-06,1184.0
2020-08-07,1189.18
2020-08-10,1186.08
2020-08-11,1186.12
2020-08-12,1183.73
2020-08-13,1185.15
2020-08-14,1187.04
2020-08-17,1184.19
2020-08-18,1183.7
2020-08-19,1182.24
2020-08-20,1185.365
2020-08-21,1192.22
2020-08-24,1189.04
2020-08-25,1187.475
2020-08-26,1184.79
2020-08-27,1187.565
2020-08-28,1180.605
2020-08-31,1188.075
2020-09-01,1185.575
2020-09-02,1189.63
2020-09-03,1191.73
2020-09-04,1187.425
2020-09-07,1187.77
2020-09-08,1190.225
2020-09-09,1184.915
2020-09-10,1188.21
2020-09-11,1187.99
2020-09-14,1181.885
2020-09-15,1180.26
2020-09-16,1172.97
2020-09-17,1169.7
2020-09-18,1165.0
2020-09-21,1164.84
2020-09-22,1163.65
2020-09-23,1170.775
2020-09-24,1169.6
2020-09-25,1174.445
2020-09-28,1167.35
2020-09-29,1168.82
2020-09-30,1164.75
2020-10-01,1162.93
2020-10-02,1166.36
2020-10-05,1157.29
2020-10-06,1164.87
2020-10-07,1157.375
2020-10-08,1151.22
2020-10-09,1143.62
2020-10-12,1148.29
2020-10-13,1148.8
2020-10-14,1147.205
2020-10-15,1145.23
2020-10-16,1142.21
2020-10-19,1140.56
2020-10-20,1138.77
2020-10-21,1133.04
2020-10-22,1135.1
2020-10-23,1128.45
2020-10-26,1132.505
2020-10-27,1129.275
2020-10-28,1135.15
2020-10-29,1130.56
2020-10-30,1136.615
2020-11-02,1133.105
2020-11-03,1131.39
2020-11-04,1129.23
2020-11-05,1123.38
2020-11-06,1121.9
2020-11-09,1119.45
2020-11-10,1117.205
2020-11-11,1112.49
2020-11-12,1115.025
2020-11-13,1108.12
2020-11-16,1107.16
2020-11-17,1105.785
2020-11-18,1106.67
2020-11-19,1114.09
2020-11-20,1115.08
2020-11-23,1114.01
2020-11-24,1110.635
2020-11-25,1106.335
2020-11-26,1106.07
2020-11-27,1105.04
2020-11-30,1109.82
2020-12-01,1106.23
2020-12-02,1100.155
2020-12-03,1092.205
2020-12-04,1083.87
2020-12-07,1084.53
2020-12-08,1085.79
2020-12-09,1087.375
2020-12-10,1087.34
2020-12-11,1091.795
2020-12-14,1093.325
2020-12-15,1089.555
2020-12-16,1094.12
2020-12-17,1094.005
2020-12-18,1099.515
2020-12-21,1104.31
2020-12-22,1109.945
2020-12-23,1106.87
2020-12-24,1102.66
2020-12-25,1100.07
2020-12-28,1097.295
2020-12-29,1091.97
2020-12-30,1088.425
2020-12-31,1085.715
2021-01-01,1085.73
2021-01-04,1086.695
2021-01-05,1087.41
2021-01-06,1088.03
2021-01-07,1094.37
2021-01-08,1093.01
2021-01-11,1097.38
2021-01-12,1094.605
2021-01-13,1098.115
2021-01-14,1096.035
2021-01-15,1104.27
2021-01-18,1104.18
2021-01-19,1102.435
2021-01-20,1097.35
2021-01-21,1099.97
2021-01-22,1105.535
2021-01-25,1102.69
2021-01-26,1102.01
2021-01-27,1108.42
2021-01-28,1113.245
2021-01-29,1118.495
2021-02-01,1117.445
2021-02-02,1115.505
2021-02-03,1113.585
2021-02-04,1120.085
2021-02-05,1117.76
2021-02-08,1117.305
2021-02-09,1111.005
2021-02-10,1106.48
2021-02-11,1103.12
2021-02-12,1104.37
2021-02-15,1102.31
2021-02-16,1107.58
2021-02-17,1106.5
2021-02-18,1107.085
2021-02-19,1106.06
2021-02-22,1112.58
2021-02-23,1110.225
2021-02-24,1107.54
2021-02-25,1119.475
2021-02-26,1124.89
2021-03-01,1113.53
2021-03-02,1125.29
2021-03-03,1127.05
2021-03-04,1131.03
2021-03-05,1128.2
2021-03-08,1141.83
2021-03-09,1135.91
2021-03-10,1136.91
2021-03-11,1130.85
2021-03-12,1136.5
2021-03-15,1132.85
2021-03-16,1129.5
2021-03-17,1121.905
2021-03-18,1128.25
2021-03-19,1129.475
2021-03-22,1126.5
2021-03-23,1133.4
2021-03-24,1135.4
2021-03-25,1135.24
2021-03-26,1128.945
2021-03-29,1132.56
2021-03-30,1133.54
2021-03-31,1127.965
2021-04-01,1128.865
2021-04-02,1129.64
2021-04-05,1125.035
2021-04-06,1119.29
2021-04-07,1119.205
2021-04-08,1116.75
2021-04-09,1121.115
2021-04-12,1125.23
2021-04-13,1121.55
2021-04-14,1116.255
2021-04-15,1116.855
2021-04-16,1116.65
2021-04-19,1115.505
2021-04-20,1117.455
2021-04-21,1116.7
2021-04-22,1120.175
2021-04-23,1115.075
2021-04-26,1110.435
2021-04-27,1113.505
2021-04-28,1110.055
2021-04-29,1107.805
