isin,ticker,event_date,event_type,ratio,old_ticker,new_ticker,note,Unnamed: 8
US0970231058,BA,2020-03-09,UNCONFIRMED,,,,"weekly_return=-35.1%, price_gap=25.1%",
US0970231058,BA,2020-03-16,UNCONFIRMED,,,,"weekly_return=-44.2%, price_gap=26.7%",
US0970231058,BA,2020-03-23,UNCONFIRMED,,,,"weekly_return=70.5%, price_gap=53.4%",
US0970231058,BA,2020-06-01,UNCONFIRMED,,,,"weekly_return=40.9%, price_gap=35.7%",
US74349Y7040,BITU,2024-11-11,UNCONFIRMED,,,,"weekly_return=39.0%, price_gap=22.3%",
US0636796171,BULZ,2022-03-14,UNCONFIRMED,,,,"weekly_return=38.3%, price_gap=52.9%",
US2473617023,DAL,2020-06-01,UNCONFIRMED,,,,"weekly_return=35.5%, price_gap=26.6%",
US26853E1029,EH,2021-02-08,UNCONFIRMED,,,,"weekly_return=62.4%, price_gap=67.8%",
US26853E1029,EH,2021-02-15,UNCONFIRMED,,,,"weekly_return=-51.8%, price_gap=29.2%",
US36467W1099,GME,2021-02-01,UNCONFIRMED,,,,"weekly_return=-80.4%, price_gap=71.7%",
KYG4124C1096,GRAB,2022-02-28,UNCONFIRMED,,,,"weekly_return=-42.1%, price_gap=41.7%",
US4581401001,INTC,2024-07-29,UNCONFIRMED,,,,"weekly_return=-31.5%, price_gap=30.8%",
US46222L1089,IONQ,2022-02-07,UNCONFIRMED,,,,"weekly_return=30.4%, price_gap=27.5%",
US46222L1089,IONQ,2023-05-15,UNCONFIRMED,,,,"weekly_return=39.8%, price_gap=21.0%",
US46222L1089,IONQ,2024-11-04,UNCONFIRMED,,,,"weekly_return=66.9%, price_gap=72.5%",
US46222L1089,IONQ,2025-01-06,UNCONFIRMED,,,,"weekly_return=-32.3%, price_gap=36.7%",
US46222L1089,IONQ,2025-05-19,UNCONFIRMED,,,,"weekly_return=30.6%, price_gap=30.2%",
US46222L1089,IONQ,2025-09-08,UNCONFIRMED,,,,"weekly_return=33.0%, price_gap=35.6%",
KYG651631007,JOBY,2025-07-14,UNCONFIRMED,,,,"weekly_return=47.7%, price_gap=40.8%",
US5494981039,LCID,2021-10-25,UNCONFIRMED,,,,"weekly_return=53.4%, price_gap=37.8%",
US5494981039,LCID,2023-01-23,UNCONFIRMED,,,,"weekly_return=64.6%, price_gap=45.9%",
US60770K1079,MRNA,2020-11-23,UNCONFIRMED,,,,"weekly_return=30.1%, price_gap=25.7%",
US5949724083,MSTR,2024-05-13,UNCONFIRMED,,,,"weekly_return=34.2%, price_gap=27.2%",
US26923N4622,MSTU,2024-11-18,UNCONFIRMED,,,,"weekly_return=54.8%, price_gap=23.2%",
US62914V1061,NIO,2020-11-02,UNCONFIRMED,,,,"weekly_return=36.1%, price_gap=24.9%",
IL0011681371,NNOX,2020-09-14,UNCONFIRMED,,,,"weekly_return=-45.7%, price_gap=29.1%",
IL0011681371,NNOX,2020-09-28,UNCONFIRMED,,,,"weekly_return=31.5%, price_gap=41.0%",
IL0011681371,NNOX,2020-11-23,UNCONFIRMED,,,,"weekly_return=42.4%, price_gap=20.8%",
IL0011681371,NNOX,2021-01-18,UNCONFIRMED,,,,"weekly_return=32.5%, price_gap=23.7%",
IL0011681371,NNOX,2023-05-01,UNCONFIRMED,,,,"weekly_return=149.3%, price_gap=48.0%",
US6700024010,NVAX,2020-07-13,UNCONFIRMED,,,,"weekly_return=48.9%, price_gap=34.7%",
US6700024010,NVAX,2021-01-25,UNCONFIRMED,,,,"weekly_return=74.0%, price_gap=68.1%",
US6700024010,NVAX,2021-08-09,UNCONFIRMED,,,,"weekly_return=35.5%, price_gap=20.7%",
US6700024010,NVAX,2021-12-13,UNCONFIRMED,,,,"weekly_return=30.5%, price_gap=28.5%",
US38747R8271,NVDL,2024-05-20,UNCONFIRMED,,,,"weekly_return=30.8%, price_gap=24.6%",
US38747R8271,NVDL,2024-08-12,UNCONFIRMED,,,,"weekly_return=40.0%, price_gap=29.2%",
US38747R8271,NVDL,2024-09-09,UNCONFIRMED,,,,"weekly_return=32.5%, price_gap=23.9%",
US38747R8271,NVDL,2025-04-07,UNCONFIRMED,,,,"weekly_return=32.8%, price_gap=24.1%",
US38747R8271,NVDL,2025-05-12,UNCONFIRMED,,,,"weekly_return=33.5%, price_gap=20.4%",
US69608A1088,PLTR,2024-02-05,UNCONFIRMED,,,,"weekly_return=43.2%, price_gap=45.8%",
US69608A1088,PLTR,2024-11-04,UNCONFIRMED,,,,"weekly_return=39.3%, price_gap=41.0%",
US69608A1088,PLTR,2025-02-03,UNCONFIRMED,,,,"weekly_return=34.4%, price_gap=32.4%",
US7710491033,RBLX,2021-11-08,UNCONFIRMED,,,,"weekly_return=37.9%, price_gap=39.7%",
US7710491033,RBLX,2022-06-20,UNCONFIRMED,,,,"weekly_return=35.5%, price_gap=22.9%",
US76655K1034,RGTI,2024-12-23,UNCONFIRMED,,,,"weekly_return=82.3%, price_gap=55.8%",
US76655K1034,RGTI,2025-01-06,UNCONFIRMED,,,,"weekly_return=-53.0%, price_gap=54.2%",
US76655K1034,RGTI,2025-07-14,UNCONFIRMED,,,,"weekly_return=40.9%, price_gap=34.4%",
US76655K1034,RGTI,2025-09-15,UNCONFIRMED,,,,"weekly_return=49.4%, price_gap=48.5%",
