date,event_type,isin_out,isin_in,note
2020-01-28,MISSING_RETURN/DROPPED,US0231351067,,AMZN 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US5949181045,,MSFT 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US02079K3059,,GOOGL 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US0378331005,,AAPL 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US67066G1040,,NVDA 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US01609W1027,,BABA 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US88160R1014,,TSLA 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US37954Y4420,,CLOU 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US9219378356,,BND 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US0846701086,,BRK.A 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US2546871060,,DIS 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US37950E5490,,SDIV 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US92826C8394,,V 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US4642872265,,AGG 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US78462F1030,,SPY 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US37950E1275,,SRET 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US37954Y4834,,QYLD 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,CA05156V1022,,AUPH 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US0079031078,,AMD 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US6541061031,,NKE 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US0846707026,,BRK.B 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US92203J4076,,BNDX 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US9220427424,,VT 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US9229083632,,VOO 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US4642874329,,TLT 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US02079K1079,,GOOG 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US78463V1070,,GLD 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US5951121038,,MU 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US90353T1007,,UBER 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US46090E1038,,QQQ 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US4642882579,,ACWI 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US00206R1023,,T 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US64110L1061,,NFLX 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US0970231058,,BA 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US30303M1027,,META 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US46138E5116,,PGX 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US9229085538,,VNQ 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US2330518794,,ASHR 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US8552441094,,SBUX 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US92189H3003,,EMLC 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US4642882819,,EMB 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US4642874402,,IEF 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US4642872000,,IVV 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US9229087690,,VTI 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US74347X8314,,TQQQ 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US37950E2919,,DIV 수익률 NaN으로 해당 주 제외 및 재정규화
2020-01-28,MISSING_RETURN/DROPPED,US4642872422,,LQD 수익률 NaN으로 해당 주 제외 및 재정규화
