date,index_point,weekly_return,component_count,core_count,satellite_count,top3_contributors,satellite_method,phase
2020-01-06,1000.0,0.0,68,48,20,,SYMMETRIC,1
2020-01-13,1019.8135244098254,0.0198135244098253,68,48,20,"TSLA(+0.31%), MSFT(+0.24%), GOOGL(+0.19%)",SYMMETRIC,1
2020-01-20,1015.7296173851896,-0.0040045625272513,67,48,19,"TSLA(+0.49%), BYND(+0.07%), INTC(+0.06%)",SYMMETRIC,1
2020-01-27,1010.8784018991896,-0.0047760894267202,65,49,16,"AMZN(+0.86%), TSLA(+0.74%), MSFT(+0.20%)",SYMMETRIC,1
2020-02-03,1050.0075001702792,0.0387080169064605,65,49,16,"TSLA(+0.77%), MSFT(+0.50%), AMZN(+0.38%)",SYMMETRIC,1
2020-02-10,1082.739656658979,0.031173259698994,63,49,14,"NVDA(+0.55%), TSLA(+0.48%), SPCE(+0.34%)",SYMMETRIC,1
2020-02-17,1084.4732626105306,0.0016011290811138,66,49,17,"TSLA(+1.00%), TVIX(+0.10%), SPCE(+0.10%)",SYMMETRIC,1
2020-02-24,980.0888306860976,-0.0962535781409308,66,49,17,"TVIX(+0.62%), UVXY(+0.35%), SQQQ(+0.21%)",SYMMETRIC,1
2020-03-02,989.5076541362314,0.0096101732365831,66,49,17,"TSLA(+0.47%), AAPL(+0.34%), TVIX(+0.32%)",SYMMETRIC,1
2020-03-09,890.7292723180652,-0.0998257885174143,70,48,22,"TVIX(+0.59%), UVXY(+0.39%), SPXU(+0.05%)",SYMMETRIC,1
2020-03-16,791.809555763084,-0.1110547498877511,70,49,21,"TVIX(+0.47%), AMZN(+0.34%), UVXY(+0.32%)",SYMMETRIC,1
2020-03-23,863.197283344004,0.0901576989837186,70,49,21,"TSLA(+1.22%), TQQQ(+0.80%), NVDA(+0.73%)",SYMMETRIC,1
2020-03-30,841.3560688415201,-0.0253026914286286,69,48,21,"MSFT(+0.21%), USO(+0.09%), QYLD(+0.05%)",SYMMETRIC,1
2020-04-06,923.8362617082608,0.0980324453834503,70,49,21,"TSLA(+1.18%), TQQQ(+0.98%), AAPL(+0.93%)",SYMMETRIC,1
2020-04-13,988.154848570276,0.0696211975302677,73,49,24,"TSLA(+1.93%), AMZN(+1.85%), TQQQ(+0.67%)",SYMMETRIC,1
